FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
13	13D	603	5937	749	59920	0.55	23.2		48.3469261213861	55
13	13E	494	4847	612	48960	0.55	23.2		48.3101073369283	55
13	13F	459	4497	719	57520	0.55	23.2		38.8880256972573	55
10	10A	394	3792	477	38160	0.55	23.4		48.4751788463292	55
10	10B	390	3752	513	41040	0.55	23.4		44.9227295565515	55
10	10C	332	3172	574	45920	0.55	23.4		34.6518331432191	55
10	10D	305	2902	508	40640	0.55	23.4		35.7431477236672	55
10	11C	373	3582	720	57600	0.55	23.4		31.3982666384627	55
10	11D	426	4112	589	47120	0.55	23.4		43.0442908392096	55
2	2A	473	4642	529	42320	0.55	23.2		53.0105503827423	55
2	2B	384	3752	478	38240	0.55	23.2		47.9181487496918	55
2	2C	411	4022	542	43360	0.55	23.2		45.523164002787	55
2	2D	392	3832	477	38160	0.55	23.2		48.9398576782566	55
2	2E	389	3802	532	42560	0.55	23.2		43.9798467090988	55
2	2F	427	4182	469	37520	0.55	23.2		53.7812517250166	55
8	8A	334	3249	485	38800	0.55	23.4		41.4379059893315	55
8	11A	380	3709	535	42800	0.55	23.4		42.7684580744178	55
8	8C	308	2989	483	38640	0.55	23.4		38.5064691592024	55
8	8D	281	2719	565	45200	0.55	23.4		30.4302291397033	55
8	8E	298	2889	526	42080	0.55	23.4		34.4538749575945	55
8	11B	339	3299	551	44080	0.55	23.4		37.342224609544	55
7	7A	339	670.9	255	20400	0.65	23.4	1	17.0756980783648	65
7	7B	418	828.9	240	19200	0.65	23.4	1	22.194675656816	65
7	7C	523	1038.9	238	19040	0.65	23.4	1	27.7483772890734	65
7	7D	571	1134.9	247	19760	0.65	23.4	1	29.1286971626345	65
7	7E	813	1618.9	257	20560	0.65	23.4	1	39.1456745997195	65
7	7F	710	1412.9	277	22160	0.65	23.4	1	32.1441667745317	65
7	7A	589	2890	514	41120	0.65	19.9		35.2168279478453	65
7	7B	405	1970	532	42560	0.65	19.9		23.725604821677	65
7	7C	739	3640	516	41280	0.65	19.9		43.4575659046626	65
7	7D	545	2670	468	37440	0.65	19.9		35.6995186819212	65
6	10A	525	5147	605	48400	0.65	22.6		51.5493015567484	65
6	10B	492	4817	610	48800	0.65	22.6		48.1812316052742	65
6	10C	428	4177	686	54880	0.65	22.6		37.9312238067228	65
6	10D	387	3767	692	55360	0.65	22.6		34.1675263001017	65
6	11C	410	3997	611	48880	0.65	22.6		40.5388199286072	65
